Receptor,AverageExpression
OR10A3,46.585544995404604
OR10A4,167.61669225871478
OR10A5,122.24309279948783
OR10A6,286.40787127494974
OR10A7,0.7125457878328979
OR10AD1,221.22771529828424
OR10AG1,4.835452948968352
OR10C1,4.058384661889473
OR10G2,6.427333093724207
OR10G3,487.351740368773
OR10G4,28.5169315865931
OR10G7,13.41686712580158
OR10G8,2.6888741131023894
OR10G9,1.8450343904032327
OR10H1,107.29814376771198
OR10H2,6.414392541113906
OR10H3,5.580494199704324
OR10H4,21.745682130267177
OR10H5,197.64784048340587
OR10J1,3.995722393715027
OR10J3,0.7871797720403463
OR10J5,9.569499652297447
OR10K1,36.54871397919662
OR10K2,94.82327905585264
OR10P1,11.98313699004931
OR10Q1,57.19636996899286
OR10R2,5.000561356627475
OR10S1,14.039978299374384
OR10T2,4.287859963180294
OR10V1,4.311372169820087
OR10W1,74.78301256358995
OR10X1,2.052232778214276
OR10Z1,29.459694387960795
OR11A1,323.95441407498225
OR11G2,45.904378608941855
OR11H1;OR11H2;OR11H12,54.06292022651734
OR11H4,63.8547009382091
OR11H6,14.7239087793085
OR11L1,55.77133970139586
OR12D2,36.81263361618437
OR12D3,3.7751105168610284
OR13A1,126.94474939236764
OR13C2,21.001929003760736
OR13C3,6.398495230653101
OR13C4,4.15957980033813
OR13C5,7.198693790098006
OR13C8,4.708908083266782
OR13C9,16.621066989511288
OR13D1,25.855203151084403
OR13F1,2.5813828274126314
OR13G1,311.8861550631855
OR13H1,1.5910603688634106
OR13J1,83.60548256176283
OR14A16,49.760862940117995
OR14C36,6.574965604897457
OR14I1,11.149346339938383
OR14J1,24.616304976591234
OR1A1,7.344301125415177
OR1A2,0.621095354456024
OR1B1,134.85495860344886
OR1C1,76.55256179699171
OR1D2,146.0339709306199
OR1E1;OR1E2,17.972273805872813
OR1E2,5.2680472847899065
OR1F1,0.8147770201051922
OR1G1,14.421959923125403
OR1I1,16.415065952260317
OR1J1,49.40638405865488
OR1J2,28.307331298905616
OR1J4,33.46702129992426
OR1K1,206.07455372855827
OR1L1,33.74673137133329
OR1L3,44.30605756289814
OR1L4,148.80201024804322
OR1L6,164.66671515369188
OR1M1,138.28183198889585
OR1N1,56.29785627535912
OR1N2,79.50925037004555
OR1Q1,191.79877380784458
OR1S1,7.0191004391798
OR1S2,3.5660852771851412
OR2A25,102.68053104567055
OR2A5,232.16022033095322
OR2AE1,233.99432686865933
OR2AG1,157.45947885655028
OR2AG2,142.89692627426564
OR2AK2,13.403661423437415
OR2AT4,209.32945627462672
OR2B11,364.7210075466592
OR2B3,1.363212735163876
OR2C1,78.46233916235768
OR2C3,42.07986964158881
OR2D2,321.653688450389
OR2D3,73.24297944423908
OR2F1,64.75257389924144
OR2F1;OR2F2,111.47997527091168
OR2G2,2.649843250997965
OR2G3,5.734749339139354
OR2G6,113.81569797818139
OR2H1,6.374045655901643
OR2H2,4.026128017055691
OR2J2,37.251435660704814
OR2J3,81.61606814212236
OR2K2,43.139476875659156
OR2L13,20.114325185511227
OR2L2,19.59391769080666
OR2L3,20.2703401146679
OR2L8,48.55638883281243
OR2M2,66.91986159933259
OR2M3,89.7306922316678
OR2M4,52.96611921112112
OR2M5,2.5177218938763537
OR2M7,1.7777686855310422
OR2S2,199.9778085235949
OR2T1,8.49909271156672
OR2T10,53.48276979520126
OR2T11,60.98811384825377
OR2T12,116.69453033889388
OR2T27,49.51403739481918
OR2T33,93.94600914573233
OR2T33,17.470444883133162
OR2T4,13.38231819241818
OR2T29;OR2T5,29.91833287248388
OR2T6,101.14598620701493
OR2T8,51.5562697800242
OR2V2,165.6387621342574
OR2W1,5.840776915378243
OR2W3,255.14952662076908
OR2Y1,5.369343531754145
OR2Z1,11.681734609715713
OR3A1,26.16429582293123
OR3A2,21.02296884602676
OR3A3,1.2214365534436036
OR3A4,4.294272566933639
OR4A15,0.31791157467466025
OR4A5,0.7395606884156473
OR4B1,4.230251175282817
OR4C11,9.353403304819594
OR4C12,1.0572360018130953
OR4C13,0.25013766897698314
OR4C15,7.389241044613896
OR4C16,0.7993686269160806
OR4C3,6.610023848521839
OR4C45,0.367918008153775
OR4C46,1.2153655027128705
OR4C6,3.5685008036102777
OR4D1,182.46200727468744
OR4D10,10.334429209428892
OR4D11,2.631087733910024
OR4D2,17.73040770538176
OR4D5,11.757792230662584
OR4D6,7.91414985065595
OR4D9,190.64231502448553
OR4E2,17.091498274827067
OR4F15,30.38535831576365
OR4F3;OR4F16;OR4F21;OR4F29,361.2615849561585
OR4F17;OR4F4;OR4F5,20.775775061405678
OR4K13,158.38141253309064
OR4K14,50.788969669845905
OR4K15,1.0103738528247694
OR4K17,28.945181969721354
OR4K2,92.61567722787501
OR4K5,6.00321431243737
OR4L1,0.453882884660537
OR4M2,24.650250779676988
OR4N2;OR4N3P,7.489818589663153
OR4N4;LOC727924,0.988429972072178
OR4N5,32.356062718429875
OR4P4,8.451951461152408
OR4Q3,49.865288787231925
OR4S1,2.411405998385145
OR4S2,4.31132918110498
OR4X1,1.097974349279508
OR4X2,3.3411036273242614
OR51A2;OR51A4,11.86904367838656
OR51A7,10.798929126844671
OR51B2,83.68494345690466
OR51B4,178.52212215596597
OR51D1,5.546180930237447
OR51E1,169.85884442247536
OR51E2,16.06918712520398
OR51F1,2.1094157877501942
OR51F2,12.388084667376948
OR51G1,6.957899098392314
OR51G2,26.00487249518212
OR51I1,221.37000804487258
OR51I2,285.93853856389484
OR51L1,34.75382676339283
OR51M1,162.20143248396295
OR51Q1,103.61791281987483
